main_question,question_variation,answer,keywords
What are the eligibility criteria to apply for a hostel room?,What are the eligibility criteria to apply for a hostel room?,"You must be a registered student. Priority is given to non-local students, but eligibility details vary. Please check with Student Affairs for specific guidelines.","eligibility, apply, hostel, student, non-local"
What are the eligibility criteria to apply for a hostel room?,Who can apply for a hostel room?,"You must be a registered student. Priority is given to non-local students, but eligibility details vary. Please check with Student Affairs for specific guidelines.","eligibility, apply, hostel, student, non-local"
What are the eligibility criteria to apply for a hostel room?,Can non-local students apply for a hostel?,"You must be a registered student. Priority is given to non-local students, but eligibility details vary. Please check with Student Affairs for specific guidelines.","eligibility, apply, hostel, student, non-local"
What are the eligibility criteria to apply for a hostel room?,Are there requirements to stay in the hostel?,"You must be a registered student. Priority is given to non-local students, but eligibility details vary. Please check with Student Affairs for specific guidelines.","eligibility, apply, hostel, student, non-local"
What are the eligibility criteria to apply for a hostel room?,Do I need to be a registered student for hostel?,"You must be a registered student. Priority is given to non-local students, but eligibility details vary. Please check with Student Affairs for specific guidelines.","eligibility, apply, hostel, student, non-local"
What are the eligibility criteria to apply for a hostel room?,Who is eligible to stay in the university hostel?,"You must be a registered student. Priority is given to non-local students, but eligibility details vary. Please check with Student Affairs for specific guidelines.","eligibility, apply, hostel, student, non-local"
What are the eligibility criteria to apply for a hostel room?,Eligibility for hostel room,"You must be a registered student. Priority is given to non-local students, but eligibility details vary. Please check with Student Affairs for specific guidelines.","eligibility, apply, hostel, student, non-local"
What are the eligibility criteria to apply for a hostel room?,Who qualifies for hostel accommodation?,"You must be a registered student. Priority is given to non-local students, but eligibility details vary. Please check with Student Affairs for specific guidelines.","eligibility, apply, hostel, student, non-local"
How do I apply for a hostel room?,How do I apply for a hostel room?,"You can apply for a hostel room by visiting the Student Affairs office. The application process typically requires personal details, course information, and relevant documents. Check deadlines and requirements each semester.","apply, hostel, process, Student Affairs, registration"
How do I apply for a hostel room?,Where do I apply for a hostel room?,"You can apply for a hostel room by visiting the Student Affairs office. The application process typically requires personal details, course information, and relevant documents. Check deadlines and requirements each semester.","apply, hostel, process, Student Affairs, registration"
